class,document,feature
CONCRETE,CONCRETE-2015-108,target detection algorithm based spatialcontextual image one class classification editorial board journal infrared laser engineering right reserved order implement automatic target detection hyperspectral image target detection algorithm proposed based spatialcontextual one classification features combining space spectrum used algorithm principles svdd classifier algorithm process studied firstly single class classification principle support vector data description svdd analyzed paper secondly considering characteristics hyperspectral image use spatial spectral features svdd classifier input introduced principle algorithm explained comparing analyzing single class classifier performance combined space spectrum last concrete realization method algorithm given experimental results show method superior conventional cem algorithm foreign naval basedata aviris imaging accuracy detects aircraft target meet requirement stablility reliability low false alarm rate high recognition rate target detection
CONCRETE,CONCRETE-2015-109,orbital angular momentum research high order bessel gaussian beam slant atmosphere turbulence editorial board journal infrared laser engineering right reserved atmospheric turbulence cause random variations refractive index resulting spatial inhomogeneity high order bessel gaussian beam propagating atmospheric turbulence spatial inhomogeneity bring change photon wave function causes disperse orbital angular momentum form different photon states rytov approximation high order bessel beam propagating slantpath atmospheric turbulence weight spiral harmonic component beam energy calculated impact spiral spectrum beam propagating slant ways caused refractive index structure constant wavelength beam zenith orbital angular momentum receiver aperture spot size discussed compared series concrete explanations given research results show increasing refractive index structure constant zenith decreasing wavelength beam spectrum spiral harmonic main component reduces orbital angular momentum disperses serious receiver aperture spot size little effect orbital angular momentum disperse
CONCRETE,CONCRETE-2015-11,comparison strength elastic properties conventional lightweight structural concretes designed expanded clay aggregates published elsevier ltd properties compressive strength modulus elasticity moe poissons ratio ductility lightweight aggregate concrete lwac mixtures investigated results obtained compared conventional concrete cc mixtures similar design characteristics purpose lwac mixtures casted using lightweight expanded clay ec aggregates different unit weight properties dry unit weights lwac mixtures changed approximately kgm kgm express effect matrix strength determined properties concrete mixtures different matrix strengths designed keeping total aggregate volume constant purpose water cementitious material ratio amount cementitious materials changed results shown depending unit weight concrete compressive strength lwac mixtures varied mpa mpa compared cc mixtures elastic properties ductility lwac mixtures changed significantly within compressive strength range lwac mixtures showed remarkable reduction moe brittle behavior compared cc mixtures poissons ratios lwac cc mixtures hand produced similar values new model predicting moe concretes also suggested
CONCRETE,CONCRETE-2015-110,control mode conversion transient process medium frequency solidstate power supply editorial office transaction china electrotechnical society right reserved mode conversion transient process important hz solidstate power supply integration system reason paper analyzes principle network building independent operation without local loads integration process effects different switching sequences mode conversion transient process conclusion mode switch ms must turn solidstate switch sss ongrid state sss must turn ms offgrid state therefore strategy smooth control system includes concrete steps proposed achieve grid connection without shock average distribution peak currents smooth adjustments peak current phase case study verified method smooth control
CONCRETE,CONCRETE-2015-111,displacementbased adaptive pushover method considering modal sign reversal rc frame structures john wiley sons ltd summary nonlinear static procedures favored tools practical applications structural engineering profession however limitations associated including deficiencies properly reflect higher modal effects inertial seismic forces fluctuations responses different adaptive pushover methods intended improve limitations proposed literature one come special deficiency study based concepts displacementbased adaptive pushover new dualrun procedure method called improved dap idap developed aiming improve higher modal sign reversal consideration pushover methods seismic scope study focused nearfault regions four concrete smrf different heights employed evaluations results proposed method terms capacity curves interstory shear profiles compared ida method results indicate ability new method reproducing seismic story forces capacity curves well interstory drifts improved comparison primitive counterpart
CONCRETE,CONCRETE-2015-112,comparative cyclic tests exterior flat slabcolumn connections normal concrete fiberreinforced lightweight aggregate concrete rilem postpeak load ductility connections reinforced concrete structures essential ensure structural integrity seismic action also prevent local failure may lead progressive collapse purpose study evaluate addition steel fibers concrete mix improve hysteretic behavior exterior flatplate slabcolumn connections experimental tests carried four fullscale exterior slabcolumn assemblies geometries reinforcement layout concrete compressive strength two reference specimens cast normal concrete two lightweight aggregate steel fiberreinforced concrete quasistatic reversed cyclic loading applied specimens ductile behavior observed connections marked increase drift capacity ductility dissipative capacity made fiberreinforced lightweight concrete moreover first steps towards numerical simulation flat slabs columns structures presented
CONCRETE,CONCRETE-2015-113,corrosion assessment steel bars used reinforced concrete structures means eddy current testing authors licensee mdpi basel switzerland paper presents theoretical experimental study use eddy current testing ect evaluate corrosion processes steel bars used reinforced concrete structures paper presents mathematical basis ect sensor built authors followed finite element analysis results obtained simulations compared obtained experimental tests performed authors effective resistances inductances voltage drops phase angles wound coil calculated using simulated experimental data demonstrate strong correlation production samples corroded steel bars using impressed current technique also presented authors performed experimental tests laboratory using handmade sensors corroded samples tests four gauges five levels lossofmass references one used results analyzed light lossofmass show strong linear behavior analyzed parameters conclusions emphasize feasibility proposed technique highlight opportunities future works
CONCRETE,CONCRETE-2015-114,investigation effect supplementary cementitious materials critical chloride threshold steel concrete rilem critical chloride threshold key parameter service life design reinforced concrete structures exposed chloridebearing environments paper investigates role concrete composition particularly effect supplementary cementing materials chloride threshold simulate real exposure conditions ponding tests carried reinforced concrete specimens bars free corrosion conditions corrosion initiation detected corrosion potential corrosion rate measurements two half years ponding followed ageing period initiation corrosion detected anodic potentiostatic polarisation tests results tests showed several limitations approach based chloride penetration monitoring free corrosion parameters investigate chloride threshold spite possible role natural pozzolan coal fly ash additions leading higher values chloride threshold ground limestone promoting lower values chloride threshold could observed
CONCRETE,CONCRETE-2015-115,prospect theory mitigation adaptation climate change taylor francis prospect theory pt widely accepted theory decisions uncertainty however far systematic application climate policy cp exist one important postulation pt outcomes perceived gains losses relative reference point comes cp different decisionmakers may different reference points example one decisionmaker perceives current climate reference point whereas another decisionmaker may another one say climate years former climate damages losses benefits cp reductions losses latter benefits cp gains pt suggests former places higher value cp latter critical review whether pt may applied cp paper systematically presents cases pt offers new insights climaterelated analyses notwithstanding importance wellknown aspects discounting altruism political economic costs shown accounting pt may contribute better understanding wellknown puzzles climate debate including different preferences cp amongst individuals nations role technical vs financial adaptation apparent preference hard protection measures coastal adaptation finally concrete possibilities empirical research effects proposed
CONCRETE,CONCRETE-2015-116,reliability solitary wave based transducer determine characteristics materials authors licensee mdpi basel switzerland study presented article investigated feasibility reliability transducer design nondestructive evaluation nde stiffness structural materials nde method based propagation highly nonlinear solitary waves hnsws along onedimensional chain spherical particles contact material assessed chain part builtin system designed assembled excite detect hnsws exploit dynamic interaction particles material inspected interaction influences timeofflight amplitude solitary pulses reflected transducermaterial interface results study show certain features waves dependent modulus elasticity material builtin system reliable future proposed nde method may provide costeffective tool rapid assessment materials modulus
CONCRETE,CONCRETE-2015-117,evaluation factors influencing earthquakeresistant design reinforced concrete frames according eurocode taylor francis impact factors affect performance regularreinforced concrete frame buildings designed according eurocodes investigated introduction sequence variants structure gradually takes account design factors makes possible measure level impact individual design factor global structural performance parameters proposed procedure applied several regular reinforced concrete frame buildings designed ductility class medium located region moderate seismicity comparison reduction factor behaviour factor revealed behaviour factor defined eurocode significantly affects design seismic action based expert elicitation rather firm scientific basis furthermore based results investigated buildings shown design factors simply adopted design often significant impact resulting structures performance whereas design factors require analysis structure lot labour engineers often minor effect performance structure
CONCRETE,CONCRETE-2015-118,numerical parametric study curved steelconcretesteel sandwich composite beams concentrated loading rilem curved steelconcretesteel scs sandwich structure developed iceresistant wall arctic oil gas drilling platform developed curved scs sandwich structure adopts ultralightweight cement composite overlapped headed shear studs core material bonding measures steelconcrete interface respectively paper develops threedimensional finite element fe model general commercial fe program abaqus simulate ultimate strength behaviour curved scs sandwich beam developed fe model considers geometric material nonlinearities concrete steel plates connectors reasonable agreement fe analysis quasistatic tests nine scs sandwich beams confirms accuracy fem predicting ultimate shear resistance cracks concrete core curved scs sandwich beam based validated fe model subsequence parametric study comprising cases investigates influences curvature thickness steel face plate core material horizontal movements supports shear resistance curved scs sandwich beams finally paper validates accuracy analytical model shear resistance curved scs sandwich beam via comparison total results fea tests
CONCRETE,CONCRETE-2015-119,micromechanical investigation size effect tensile strength recycled aggregate concrete using bfem springer sciencebusiness media dordrecht paper validity performance base force element method bfem based potential energy principle studied numerical examples bfem damage mechanics used analyze size effect tensile strength recycled aggregate concrete rac mesolevel recycled aggregate concrete taken fivephase composites consisting natural coarse aggregate new mortar new interfacial transition zone itz old mortar old itz mesolevel random aggregate model used simulate mesostructure recycled aggregate concrete size effects mechanical properties rac uniaxial tensile loading simulated using bfem damage mechanics simulation results agree test results analysis method new way investigating fracture mechanism numerical simulation mechanical properties rac
CONCRETE,CONCRETE-2015-12,influence waste rubber utilization fracture steelconcrete bond strength properties concrete elsevier ltd mechanical fracture properties concretes natural aggregate replaced two types crumb rubber andor tire chips waste scrap tire rubber experimentally investigated concrete mixtures produced constant watertocement ratio cement content kgm total concrete mixtures designed replacing fine coarse aggregates crumb rubber tire chips respectively designated replacement levels total aggregate volume concrete samples tested compressive splitting tensile strengths modulus elasticity fracture energy characteristic length steelconcrete bond strength test results indicated utilization rubber significantly affected mechanical fracture properties concretes compressive strength modulus elasticity concretes decreased ductility increased rubber used besides effect rubber appeared pronounced higher rubber content bigger size
CONCRETE,CONCRETE-2015-120,research new impulse voltage generator simulation experiment upward lightning leader chin soc elec eng characteristics research upward lightning leader laboratory new type impulse voltage generator urgently needed equivalent simulation electric field temporal characteristics focusing key technical problem generators development topology generator presented first based technical requirements generator feature multistage circuits connected series cell circuit controllable capacitor charging core characteristics cell circuit well major application problems topology analyzed taking mv generator typical example scheme concrete parameter configuration provided rationality verified basis performance analysis furthermore layout design generator proposed realize multistage circuits connected series physically feasibility testified means developing prototype generator well performance experiment realization problem generator solved way paper provide theoretical guidance practical basis realization new impulse voltage generator simulation experiment upward lightning leader final
CONCRETE,CONCRETE-2015-121,experimental evaluation recycled aggregate porous concrete piles soft ground improvement copyright taylor francis group llc use sand compaction pile gravel compaction pile nowadays common approach soft ground improvement article recycled aggregate porous concrete pile developed replacing natural aggregates recycled aggregates overcome issues related bulging failure reduced section geometries issues may arise installation early stages operation addition proposed approach utilizes recycled aggregates instead natural materials investigate applicability recycled aggregate porous concrete pile method ground improvement technique series laboratory model consolidation tests performed soft clay soil reinforced sand compaction pile gravel compaction pile recycled aggregate porous concrete pile respectively results indicated settlement reduction effect recycled aggregate porous concrete pile significantly higher sand compaction pile gravel compaction pile methods stress sharing ratio experimental program showed good agreement calculated elasticity theory comparative analyses recycled aggregate porous concrete pile versus sand compaction pile gravel compaction pile approaches replacement area ratio surcharge pressure showed significantly improved consolidation time settlement reduction stress sharing effect
CONCRETE,CONCRETE-2015-122,investigation precast concrete paver block waste tyre crumb rubber taylor francis test programme carried investigate feasibility utilising waste tyre crumb rubber partial replacement fine aggregate river sand precast concrete paver block pcpb study examines density compressive strength split tensile strength flexural strength rebound number ultrasonic pulse velocity pcpb waste tyre crumb rubber comparison also made controlled pcbp without crumb rubber pcbp containing various percentages crumb rubber replacement contents crumb rubber volume grade concrete used experimental investigation carried evaluate influence crumb rubber days study results indicated reduction density compressive strength split tensile strength flexural strength rebound number ultrasonic pulse velocity increase crumb rubber content concrete mix results also revealed crumb rubber replacement sand volume meets target strength mpa meaning concrete containing crumb rubber content useful making light weight concrete recommended use paver block manufacture
CONCRETE,CONCRETE-2015-123,experimental testing emulative connections precast columns using grouted corrugated steel sleeves springer sciencebusiness media dordrecht seismic analysis precast concrete structures requires specific information regarding behaviour connections large deformation cycles connection located within critical region structural element energy dissipation capacity needs confirmed experimental testing use emulative connections precast elements attractive designers common conventional design methodologies assumptions developed cast place structures may readily used results structural testing program precast columns connected using grouted corrugated steel sleeves reported paper comparison reference cast place specimens made conclusions regarding emulative characteristic connection drawn tests carried scaled concrete columns using reaction frame technical university civil engineering bucharest four precast specimens two reference specimens tested analysis recorded data showed precast specimens similar hysteretic response energy dissipation capacity reference ones
CONCRETE,CONCRETE-2015-124,chloride transport resulting corrosion steel bars alkali activated slag concretes authors relative performance alkali activated slag aas concretes comparison portland cement pc counterparts chloride transport resulting corrosion steel bars clear investigation carried results reported paper effect alkali concentration modulus sodium silicate solution used aas studied chloride transport corrosion properties assessed help electrical resistivity nonsteady state chloride diffusivity onset corrosion rate corrosion pore solution chemistry found although chloride content surface higher aas concretes lower chloride diffusivity pc concrete ii pore structure ionic exchange interaction effect hydrates strongly influenced chloride transport aas concretes iii steel corrosion resistance aas concretes comparable pc concrete intermittent chloride ponding regime exception nao ms iv corrosion behaviour aas concretes significantly influenced ionic exchange carbonation sulphide concentration v increase alkali concentration activator generally increased resistance aas concretes chloride transport reduced resulting corrosion value found optimum modulus activator improving chloride transport corrosion resistance
CONCRETE,CONCRETE-2015-125,optimal shakedown analysis plane reinforced concrete frames according eurocodes authors present updated mathematical model shakedown optimization reinforced concrete plane frames subjected variable repeated uncertain loading within known domain structures plastic redistribution forces known occur various mechanisms system collapse shakedown identified plastic yielding signchanging develop general nonlinear mixedinteger optimization problem reduces linear programming problem demonstrate duality linear programming problem static kinematic formulations derive strength conditions according eurocode iterative process optimization stiffness properties frame elements allowed vary frame crosssections rectangular made doubly reinforced concrete material considered composite successfully demonstrate numerical optimization procedure twostorey reinforced concrete plane frame present variations interaction loci optimized section graphical form
CONCRETE,CONCRETE-2015-126,effects asphalt concrete characteristics cohesive zone model parameters hot mix asphalt mixtures national research council canada rights reserved paper effects main asphalt concrete characteristics including binder type air void percentage cohesive zone model czm parameters studied experimental tests conducted semicircular bend scb specimens made asphalt concrete fracture behavior simulated using proper czm czm parameters various hot mix asphalt hma mixtures determined using scb experimental results five types hma mixtures tested modeled consider effects binder type air void percentage czm parameters results showed binder hma mixture softened cohesive energy strength increased whereas enhancing air void percentage led reduction cohesive energy strength values among studied hma mixtures highest values czm parameters found hma mixture containing copolymer called styrenebutadienestyrene
CONCRETE,CONCRETE-2015-127,life cycle assessment lowrise office building different structureenvelope configurations national research council canada rights reserved paper presents life cycle assessment approach study impact structure envelope types energy consumption environmental impact office building new york city usa addition future costs environmental impact various structure envelope options assessed according current practice market price co eight structure envelope types lowrise office building investigated include concrete steel structures various combinations envelopes parameters life cycle energy use global warming potential water air land emissions analyzed energy simulation performed using equest software environmental impact assessed using athena impact estimator building concrete frame proved lower environmental impact compared steel frame precast concrete building found economical alternative due minimal environmental impact cost study expected enable decision makers building owners select best alternative respect energy use environmental economic constraints
CONCRETE,CONCRETE-2015-128,family state space least mean power twobased algorithms moinuddin et al licensee springer work novel family state space adaptive algorithms introduced proposed family algorithms derived based stochastic gradient approach generalized least mean cost function jkekl integer l since generalized cost function power l includes whole family power twobased algorithms different values l novelty work resides fact cost function never used framework state space model wellknown fact knowledge state space model improves estimation state parameters system hence employing state space model generalized cost function provide efficient way estimate state parameters proposed family algorithms inherit simplicity structure due use stochastic gradient approach contrast modelbased algorithms kalman filter variants fact supported providing comparison computational complexities algorithms specifically proposed family algorithms computational complexity far lesser kalman filter stability proposed family algorithms analysed providing convergence analysis extensive simulations presented provide concrete justification compare performances proposed family algorithms kalman filter
CONCRETE,CONCRETE-2015-129,new approach determine plastic viscosity selfcompacting concrete higher education press springerverlag berlin heidelberg rheology concrete best measured use rheometer slump flow test gives good indication flowability mixture therefore still used extensively judge workability scc mixtures however test presents defects objective paper develop new methodology measuring workability scc article proposed correlation plastic viscosity concrete time characteristics flow final profile vfunnel coupled plexiglas horizontal channel proposed approach verified experimental results represents simple economical usable tool building site allows characterize rheologically scc flow comparison approach experimental values plastic viscosity shows laboratory site instead using rheometer use approach characterize rheological behavior scc
CONCRETE,CONCRETE-2015-13,engineering properties carbon footprint ground granulated blastfurnace slagpalm oil fuel ashbased structural geopolymer concrete elsevier ltd rights reserved engineering properties geopolymer concrete developed using palm oil fuel ash slag binders manufactured sand quarry dust replacement materials fine aggregate oil palm shell ops coarse aggregate investigated along carbon footprint use binder content kgm ops based lightweight concrete produced highest compressive strength mpa ultrasonic pulse velocity normal weight geopolymer concrete nwgc shows good quality development structural grade ops geopolymer concrete comparable nwgc shows potential application structural purposes ops geopolymer concrete lower carbon footprint compared conventional concrete
CONCRETE,CONCRETE-2015-130,timelapse characterization hydrothermal seawater microbial interactions basaltic tephra surtsey volcano authors new international continental drilling program icdp project drill yearold edifice surtsey volcano youngest vestmannaeyjar islands along south coast iceland perform interdisciplinary timelapse investigations hydrothermal microbial interactions basaltic tephra volcano created submarine subaerial basaltic eruptions first drilled october workshop funded icdp convened scientists countries half days heimaey island develop scientific objectives site drill holes organize logistical support representatives surtsey research society environment agency iceland also participated scientific themes focus determinations structure eruptive processes type locality surtseyan volcanism descriptions changes fluid geochemistry microbial colonization subterrestrial deposits since drilling years ago monitoring evolution hydrothermal biological processes within tephra deposits far future installation surtsey subsurface observatory tephra deposits provide geologic analog developing specialty concretes pyroclastic rock evaluating longterm performance diverse hydrothermal conditions abstracts research projects posted httpsurtsey icdponlineorg
CONCRETE,CONCRETE-2015-131,mechanical properties fracture behavior basalt glass fiber reinforced concrete experimental study elsevier ltd rights reserved basalt fiber bf novel kind inorganic fiber manufactured extrusion melted basalt rock commercially available study comparatively analyze application basalt glass fibers fiber reinforcement high strength concrete observed test results significant effect fiber inclusion compressive strength modulus elasticity concrete splitting tensile strength basalt fiber reinforced concrete bfrc increased increasing fiber dosage whereas increase strength glass fiber reinforced concrete gfrc observed beyond fiber dosage trend similar splitting tensile strength flexural strength bfrc increased increasing fiber content gradual fashion change observed gfrc fiber content fracture energy increased significantly dosage basalt glass reinforced concrete kic ctodc results bfrc showed bf inclusion improves performance concrete compared gf respect crack resistance ductility
CONCRETE,CONCRETE-2015-132,behavior short circular tubedreinforcedconcrete columns subjected eccentric compression elsevier ltd tubedreinforcedconcrete trc column kind confined reinforcedconcrete rc columns using outer encasing thinwalled steel tube discontinues beamcolumn joints thus carry direct axial load although composite column used practical applications china still lack sufficient experimental data design methods trc columns subjected eccentric compression paper short circular trc columns tested axial eccentric compression considering parameters eccentricity diametertothickness ratio steel tube failure mode axial loadcarrying capacity stress steel tube specimens discussed detail test results indicate average confining stress columns small eccentricity close columns axial load peak load validate employed stressstrain relationship confined concrete fiberbased model developed predicted results agree well test results based strain energy equivalence principle regression formula estimate ultimate compressive strain concrete confined steel tube proposed equivalent concrete stress block parameters circular trc members theoretically studied modified values purposely suggested calculation capacity interaction diagram
CONCRETE,CONCRETE-2015-133,seismic responses reinforced concrete frames buckling restrained braces zigzag configuration elsevier ltd new buckling restrained braced frame system proposed previous study reinforced concrete frames featured zigzag configuration buckling restrained braces ease steeltoconcrete connection experimental tests conducted establish realistic numerical models brace connections proposed system numerical models nonlinear dynamic analysis prototype building conducted investigate seismic behavior new braced frame system results indicate buckling restrained braces new system efficient reducing responses building even nonlinearity brace connection considered furthermore strength demands brace connections significantly influenced higher modes system braces yield
CONCRETE,CONCRETE-2015-134,structural effects radiationinduced volumetric expansion unreinforced concrete biological shields elsevier bv limited literature pomaro et al mirhosseini et al salomoni et al andreev kapliy available structural analysis irradiated concrete biological shield cbs although extended operations nuclear powers plants may lead critical neutron exposure n cm notable exception andreev kapliy available structural models account radiationinduced volumetric expansion although found develop important linear dimensional change order lead significant concrete damage le pape et al dcylindrical model unreinforced cbs accounting temperature irradiation effects developed irradiated concrete properties characterized probabilistically using updated database collected oak ridge national laboratory field et al overstressed concrete ratio ocr cbs ie proportion wall thickness subject stresses beyond resistance concrete derived deterministic probabilistic analysis assuming irradiated concrete behaves elastic materials biaxial compressive zone near reactor cavity ocr limited ie cm whereas tension zone ocr extends ie results valid maximum neutron fluence concrete surface n cm e mev obtained years operation give indication potential detrimental effects prolonged irradiation concrete nuclear power plants
CONCRETE,CONCRETE-2015-135,static mechanical properties impact resistance amorphous metallic fiberreinforced concrete elsevier ltd study examined effect thin plate shape amorphous metallic fibers attainability mixing conditions static mechanic properties impact resistance concrete cement composites mortar hookedend steel fibers amorphous metallic fiberreinforced concrete found lose significant amount flowability result mixing relative hookedend steel fiber reinforced concrete hookedend steel fiber exhibited pullout matrix peak pullout load attained amorphous metallic fiber large bondspecific surface area pulled matrix instead cut terms impact resistance amorphous metallic fiber reinforced concrete found effective resisting cracking hookedend steel fiber reinforced concrete therefore amorphous metallic fiber used fiber reinforced cement composite materials structures structural materials protection panels
CONCRETE,CONCRETE-2015-136,dynamic behavior concrete passive confinement editorial departmentof cjam right reserved based concrete split hopkinson pressure bar shpb test numerical models concrete passive confinement established finite element software ansyslsdyna comparative analysis groups date dynamic mechanical properties concrete different confining pressure strain rate influence rules confining pressure strain rate concrete failure mode stressstrain curve ultimate strength strain peak obtained results obtained indicate following facts increase strain rate failure modes concrete shift gradually splitting crushing bigger passive confinement sufficient concrete strength played strain rate increases dynamic strength strain concrete confining pressure increased times times respectively passive confinement increased times times respectively confining pressure within scope ompa mpa dynamic ultimate strength concrete increases limited tends stable confining pressure mpa increase factor strain grows linearly confining pressure increases
