,class,document,feature
10,ALZ,ALZ107,sensitive method demonstration senile plaques dementing brain senile plaques occur mainly cerebral grey matter increased senile dementia alzheimer type new method demonstration senile plaques described consists irradiating unstained paraffin wax embedded sections ultraviolet light senile plaques exhibit blue autofluorescence usually clearly visible background autofluorescence neuropil
11,ALZ,ALZ108,parenchymal ct correlates senile dementia alzheimer disease loss gray white matter discriminability neuropathologic studies defined gross anatomic structural well histologic parenchymal changes senile dementia alzheimer disease investigation suggests loss gray white matter discriminability computed tomography ct related cognitive impairment disease discriminability defined relative ease visual differentiation gray white tissues twenty six elderly patients dementia subjected extensive psychometric evaluation medical neurologic examination ct scanning gray white matter changes assessed subjectively evaluating three brain levels basal ganglia centrum semiovale high convexity five point scale quantitated gray white matter scores also obtained sampling ct attenuation values addition ct structural changes evaluated previously reported methods significant correlations p less subjectively assessed loss gray white matter discriminability brain levels measures cognitive decline high convexity level cognitive measures correlated loss gray white discriminability patient group gray white discriminability correlation age demonstrated suggesting gray white discriminability simply change age
12,ALZ,ALZ109,quantitative study cerebral atrophy old age senile dementia cerebral atrophy measured comparing brain volume cranial capacity necropsy severely demented patients aged years non demented controls similar age volumes cerebral cortex white matter lobes cerebral hemispheres found point counting morphometry patients alzheimer type dementia aged less years mainly showed pathological cerebral atrophy global loss cerebral tissue p less whereas years age generally showed selective atrophy temporal cortex p less findings support view disease processes exaggerated age change underlie primary neuronal dementia alzheimer type
13,ALZ,ALZ11,serum parathyroid hormone concentrations senile dementia alzheimers disease accumulation aluminum cerebral cortex implicated factor pathogenesis alzheimer type senile dementia sd dialysis dementia found patients chronic renal failure long term intermittent hemodialysis treatment animal studies parathyroid hormone pth produces increased absorption aluminum gastrointestinal tract elevations aluminum cerebral cortex proposed pth elevations may increase tissue aluminum loads patients senile dementia present study undertaken investigate status circulating pth patients sd agesex matched controls significant differences found groups elevated pth occur seemed related degree renal impairment rather dementia differences distribution aluminum patients dialysis dementia sd discussed
14,ALZ,ALZ110,uptake hydroxytryptamine blood platelets huntingtons chorea alzheimer type presenile dementia kinetics ht uptake blood platelets studied om eleven patients huntingtons chorea ten patients presenile dementia alzheimer type groups patients ht uptake unchanged comparison respective controls age results confirm earlier reports increased ht uptake blood platelets huntingtons chorea platelet ht uptake seem serve biological test either disease
15,ALZ,ALZ111,lesions nucleus ansae peduncularis neuropsychiatric disease nucleus ansa peduncularis substantia innominata frequently contains degenerating neurons patients huntingtons disease alzheimers disease schizophrenia possibly neurological neuropsychiatric conditions large number degenerating cells found exceptionally neurologically normal patients without mental symptoms significance lesion may related quantitative factors analogous granulovacuolar degeneration hippocampus cells show massive distention solvent extractable lipid pigment vacuolar droplet material imparts distinctive light electron microscopic appearance
16,ALZ,ALZ112,distribution cerebral lesions acquired hepatocerebral degeneration brain lesions patients chronic portal systemic venous shunts much regardless presence absence primary liver disease alzheimers type abnormality astrocytes demarcated areas spongy degeneration found mainly grey matter severe involvement basal ganglia deeper layers frontal parietal occipital cortex spongy degeneration showed especially close correlation arterial blood supply greatest borderland areas fall regions usually supplied one major cerebral arteries previous investigations primarily concerned selective vulnerability comparisons difficult review evidence pattern involvement feature wilsons disease acquired hepatocerebral degeneration toxic effect portal blood greatest grey matter probably greater metabolic activity distribution lesions within area greater vulnerability appears influenced circulatory factors
17,ALZ,ALZ113,familial dementia adult onset pathological findings non specific nature family described siblings developed dementing illness culminated death within five six years onset pathological findings members strikingly similar consisted widespread nerve cell loss astrocytosis within cerebral cortex status spongiosus within outer cortical layers nerve cell loss astrocytosis within dorsomedial nucleus thalamus concluded disorder described report conform precisely currently recognized categories familial dementing disease
18,ALZ,ALZ114,called presclerosis developing cerebral ischemia complaints patients sent general practitioners hospital enumerated table according thier frequency items three groups complaints stand disturbances memory concentration b nervousness inward restlessness increased irritability c fatigue decrease performance earlier literature similar syndromes described signs diminution cerebral performance appeared old persons considered expression physio logical decrease neurons middle aged men syndrome considered sign premature cerebral arteriosclerosis recent investigations shown decrease cerebral performance often due degenerative process alzheimers type many cases difficult decide concerning three basic processes take consideration diminution cerebral performance occurs presented cues diagnosis differential diagnosis treatment syndrome often seen general practice today
19,ALZ,ALZ115,ultrastructure alzheimer type ii glia hepatocerebral disease case hepatocerebral disease inose type astrocytes corresponding alzheimer type ii glia swollen cytoplasm containing glycogen granules focal aggregates lipofuscin granules nuclei contained bodies simple complex types well conglomerates glycogen granules without capsules nuclear bodies simple type also observed nuclei endothelial cells concluded changes appearance alzheimer type ii glia suggest reactive defensive changes brain ammonium ions rather merely degenerative nature
20,ALZ,ALZ116,cell loss locus coeruleus senile dementia alzheimer type sample counts pigmented cells locus coeruleus lc performed middle aged old people considered intellectually well preserved cases senile dementia alzheimer type sdat evidence gradual loss neurons early middle old age found control group cases sdat counts within lower range controls fewer neurons control recorded mean count sdat cases significantly less older controls evidence exists severe cases sdat terms neocortical plaque formation greatest loss lc neurons
21,ALZ,ALZ117,significance anti neuronal antibodies alzheimers disease indirect immunofluorescence cell type specific markers used determine whether antibodies directed specific neural cell types present patients alzheimers disease ad neurological diseases ond normal controls sera cerebrospinal fluid csf tested either frozen sections rat human cortex andor dissociated cell cultures neonatal rat cerebellum human fetal dorsal root ganglia drg groups patients normal subjects indistinguishable pattern immunoglobulin ig staining staining neurones frozen sections predominantly nuclear cultures sera showed weak staining oligodendrocytes fibroblasts schwann cells varying degrees surface staining neurones seen sera csf within groups
22,ALZ,ALZ118,neuropathologic approach human disease intracranial mass effect review describes insults brain result either increased decreased mass effect mechanisms produce certain derangements central nervous system lead patients death increased intracranial mass effect characterized brain tumors may produce lethal brain stem ischemia hand decreased intracranial mass effect seen alzheimers disease leads aspiration pneumonia terminal sepsis
23,ALZ,ALZ119,biologic distinction sporadic familial alzheimer disease vitro cell fusion test vitro cell fusing activity brain suspensions prepared patients alzheimer disease occurred familial cases level similar seen transmissible creutzfeldt jakob disease cjd sporadic cases level statistically different nonneurologic control patients biologic distinction familial sporadic forms alzheimer disease may related previously reported transmission primates cjd like disease two familial cases alzheimer disease
24,ALZ,ALZ12,evidence transmissibility alzheimer disease nonhuman primates inoculated intracerebrally brain tissue patients confirmed alzheimer disease ad order investigate possibility infectious etiology animals inoculated brain tissue two patients familial ad developed spongiform encephalopathy indistinguishable creutzfeldt jakob disease cjd seventeen cases ad test months failed produce similar changes cases incubating sufficient period time ascertain presence transmissible agent initial transmission spongiform encephalopathy brain tissue two familial cases ad reproduced association ad infectious agent yet demonstrated reasonable degree certainty frequent overlap clinical symptoms ad cjd occurrence cases cjd ad families indicate need continuing research relationship two diseases
25,ALZ,ALZ120,fibrous astrocytes senile dementia alzheimer type fibrous astrocytes stained sternberger peroxidase antiperoxidase method using paraffin sections mid frontal cerebral cortex patients senile dementia normals similar age populations fibrous astrocytes similar molecular layer widely divergent layers ii vi mean count fibrous astrocytes senile dementia alzheimer type four times normal aged cortex
26,ALZ,ALZ121,histoquantitative study striate cortex lateral geniculate body normal blind demented subjects amount myelin outer band baillarger human visual cortex stained luxol fast blue mbs measured normal individuals wide age range group blind severely visually impaired otherwise normal individuals series demented patients alzheimer multi infarct type apparently visually normal amount myelin found significantly reduced blind demented groups examination lateral geniculate body blind cases demonstrated slight reduction neuron numbers marked reduction mean neuron diameter neuronal cytoplasmic ribonucleic acid nucleolar volume numbers tetraploid glial nuclei blind visually impaired cases significantly reduced compared controls indicating reduced function neurons similar results obtained examining nucleus alzheimer multi infarct cases suggesting visual pathways may involved conditions concluded loss myelin outer band baillarger occurs association reduced function neurons lateral geniculate body
27,ALZ,ALZ122,problems families caring alzheimer patients use support group eight week support group program conducted members families alzheimer patients still living home became clear caring alzheimer patient home created tremendous practical psychologic social problems family members frequently discussed problems included lack support information physicians poor understanding disease depression trapped feeling anger fear patients behavioral problems isolation caretakers loss self identity group participation especially beneficial spouses functioned primary care providers increased understanding disease made feel supported less isolated helped resolve feelings created illness also helped spouses become aware needs regain self identity relation patient family support programs offer way strengthen emotional well treatment skills care providing family important aid treatment alzheimers disease
28,ALZ,ALZ123,quantitative clinicopathologic study cerebral amyloid angiopathy rapid screening method described detecting amyloid angiopathy aa meningeal vessels use thioflavin fluorescence microscopy aa found frequently brains patients senile degeneration alzheimer type complicated severe arteriosclerosis vascular hyalinosis multiple infarcts percent randomly drawn mental hospital patients age degree aa significantly correlated degree organic symptomatology r p less multiple regression analysis however revealed aa predictor clinical symptoms highly dependent upon another predictor ie quantity senile plaques brain contrast highly significant independent correlation found clinical symptoms aa control sample patients mental illnesses senile dementia r p less patients plaque count low arteriosclerosis prevalent among clinical symptoms affect lability consistently highly correlated aa whereas disorientation highly correlated quantity plaques
29,ALZ,ALZ124,use tha treatment alzheimer like dementia pilot study twelve patients tha centrally acting anticholinesterase given intravenously varying doses unselected cases alzheimer like senile dementia significant improvement memory testing occurred subjects improved clinical staging analysis results respect staging dementia revealed degree improvement inversely related severity dementia statistical analysis data friedman test detailed
30,ALZ,ALZ125,estimated health care expenditures demented patients authors try give cost containment analysis health care costs spent patients labelled suffering dementia presenile senile dementia alzheimers disease organic psychotic conditions arteriosclerotic dementia depressive paranoid dementia others due difficulties defining dementia rough impression costs given total costs intramural care f millionyear million intramural care netherlands includes general hospitals psychiatric hospitals nursing homes longstay annexes psychogeriatric ward costs spent intramural care netherlands extramural ambulatory care estimated circa f million million daycare centres nursinghomes f million million extramural care given general practitioners ambulant social psychogeriatric teams community services delivered public health nurses estimated total costs circa f million million total costs spent health careyear f elderly person national income contrast expenses scientific research gerontology netherlands especially field dementia almost nil dementia needs attention receives today
31,ALZ,ALZ126,autonomic dysfunction subacute spongiform encephalopathy autonomic nervous system functions studied two patients subacute spongiform encephalopathy sse compared four patients presenile dementia huntingtons disease alzheimers disease autonomic dysfunctions patients sse included following diminished lacrimation abnormal pupillary responses topically applied autonomic drugs subnormal pulse rate response cold face test atropine administration anhidrosis absence rise blood pressure response cold pressor test functions normal dementia patients served controls postmortem studies disclosed morphologic alterations sympathetic ganglia vagus nerve
32,ALZ,ALZ127,structural lesions brain young schizophrenics swollen degenerate fragmented neurons septal nuclei nucleus ansae peduncularis commonly found chronic neurological diseases alzheimers huntingtons disease rarely found neurologically normal control patients without mental symptoms pathological lipid pigment laden neurons appear common feature schizophrenia consistently found series unselected young mean age schizophrenics
33,ALZ,ALZ128,alterations protein synthetic capability nerve cells alzheimers disease cytoplasmic rna content nuclear nucleolar volume significantly reduced nerve cells temporal cortex cases alzheimers disease examined diagnostic craniotomy post mortem compared nondemented control cases similar age average necropsy three parameters equally reduced biopsy cases nuclear volume decreased greatest amount followed nucleolar volume decreased greatest amount followed nucleolar volume cytoplasmic rna findings indicate change protein synthesis occurs daily course alzheimers disease may result primary alteration within nuclear apparatus
34,ALZ,ALZ129,reduced dopamine beta hydroxylase activity alzheimers disease activity noradrenergic marker enzyme dopamine beta hydroxylase measured brains removed postmortem control patients patients alzheimers disease enzyme activity decreased frontal temporal cortices hippocampus patients alzheimers disease within normal range patients depression multiinfarct dementia terminal comathe decrease enzyme activity alzheimers disease may reflect abnormality cortical noradrenergic fibres patients disease
35,ALZ,ALZ13,glycolytic enzymes human autoptic brain cortex normal aged demented cases activities glycolytic enzymes determined human autoptic temporal lobes patients different forms dementia enzymes hexokinase phosphofructokinase phosphoglycerate mutase effect seen dementia regarded intensification normal ageing affect enzymes aldolase phosphoglucose isomerase triosephosphate isomerase lactate dehydrogenase changes enzyme activities corresponding found dementia observed normal ageing process effects pronounced non vascular alzheimer cases exception triosephosphate isomerase lactate dehydrogenase enzyme activity also reduced bronchopneumonia effects dementia bronchopneumonia activities glycolytic enzymes human autoptic brain tissue often difficult distinguish
36,ALZ,ALZ130,quantitative indexes computed tomography dementia normal aging quantitative indexes compute tomography compared patients alzheimer dementia elderly persons history neurologic disease age corrected ventricle brain ratios abnormal half dementia patients whereas single subject control group ventricles outside limits normal variation measurement distance third ventricle sylvian fissure indicated dementia patients significantly atrophy area employment quantitative indexes standardized age may aid differentiating cerebral atrophy associated dementia associated normal aging
37,ALZ,ALZ131,distribution ultrastructure alzheimers neurofibrillary tangles postencephalitic parkinsonism economo type distribution ultrastructure alzheimers neurofibrillary tangles ant brain stem hypothalamus ammons horn studied four patients postencephalitic parkinsonism economo type pepe distribution ant previously reported pattern distribution resembled amine containing nerve cells ultrastructurally ant revealed twisted tubules tt straight tubules st width also found locus ceruleus three cases sometimes tt st mixed single neuron whether coexistence tt st locus ceruleus characteristic ultrastructural feature ant pepe regional peculiarity could determined ultrastructurally ant pepe identical found brains patients alzheimers disease senile dementia
38,ALZ,ALZ132,histocompatibility antigens hla patterns cognitive loss dementia alzheimer type recent data suggest proportion patients primary neuronal degeneration alzheimer type hla b antigen however possibility differences might exist patients without marker examined tested range cognitive skills alzheimer patients without hla b examine whether individuals hla marker would exhibit profile cognitive loss different without results indicate patients hla b antigens selective attentional scores significantly lower alzheimer patients without antigen neither group significantly different either memory capacity retrieval short term long term memory data support hypothesis may one disorder referred dementia alzheimer type
39,ALZ,ALZ133,rcbf measurements xe inhalation applications neuropsychology psychiatry review describes recent advances application rcbf measurements xe inhalation method neuropsychological psychiatric research studies mapping cortical activity indicated flow variations visual auditory tactile tasks varying complexity described bilateral rcbf measurements also offer information concerning lateralization mental processes clinical applications psychiatry finally reviewed demonstrating use technique differential diagnosis dementia organic ethiology alzheimers disease multi infarct dementia pseudodementia due psychosis method also useful study cases toxic influence alcohol agents
40,ALZ,ALZ134,choline chloride fails improve cognition alzheimers disease seven mildly moderately demented patients alzheimers disease treated either placebo choline chloride mgkg hrs double blind crossover study detailed psychometric analysis carried end two week period drug placebo administration subjects showed significant overall improvement dose level despite doubling baseline plasma choline level
41,ALZ,ALZ135,effects presenile dementia alzheimers type brainstem transmission time central transmission time ctt first fifth wave brainstem auditory evoked potential baep assessed group patients clinically diagnosed suffering presenile dementia alzheimers type ctt significantly longer patients compared healthy young elderly volunteers age per se result prolonged peak latencies ctt results indicate far field early near field evoked potentials may utility early diagnosis central nervous system dysfunction associated diffuse degenerative diseases alzheimers related diseases
42,ALZ,ALZ136,simple choice reaction time dementia clinical implications present study investigated differences normal elderly subjects matched age education patients dementia alzheimers type dat two measures reaction time rt statistically significant group differences clearly demonstrate normal elderly subjects faster rt subjects senile dementia rt tasks dat patients clearly differentiated terms overall group means clinical classification age matched counterparts choice rt task eleven dat patients displayed choice rts standard deviations age matched normals rt measures discriminative patients normals overall results argue increased sensitivity choice required rt accessing cognitive deficits dat
43,ALZ,ALZ137,morbus gerstmann straussler scheinker sch family report three cases authors transl clinical symptoms three cases histological findings two patients suffering morbus gerstmann straussler scheinker gss reported disease belongs group subacute spongiform encephalopathies extremely rare far observed members four large families symptoms begin age lead death years family reported cerebellar symptoms including myoclonia later dementia bulbar pyramidal symptoms typical two patients also deterioration vision hearing csf biochemical data normal eegs showed progressive general slowing without periodic dysrhythmia evoked potential gave evidence demyelinization disease may safely distinguished morbus creutzfeldt jakob cj alzheimers disease histology reveals kuru plaques cases invariably multicentric plaques well cortical spongiform changes varying degree loss nerve cells glial proliferation however minor degenerative alterations cortical vessels seen transmission monkeys histological similarities cj kuru suggest slow virus related causing scrapie alternatively genetically determined susceptibility patient may decide type reaction slow virus disposition gss autosomally dominant
44,ALZ,ALZ138,cytogenetic studies familial sporadic alzheimer disease present cytogenetic findings familial sporadic alzheimer disease ad patients unaffected relatives spouses normal controls study prompted reports increased chromosome abnormalities patients family members risk ad coded peripheral blood chromosome preparations evaluated aneuploidy aberration rates banding patterns statistical analyses results showed increase aneuploidy aberrations ad patients relatives normals chromosome loss gain aneuploid cells specific except two individuals two older persons studied one ad one unaffected observed increased sex chromosome aneuploidy finding attributed aging considered effect ad
45,ALZ,ALZ139,frequency alzheimers neurofibrillary tangle brains progressive supranuclear palsy postencephalitic parkinsonism alzheimers disease senile dementia non demented elderly person frequency distribution alzheimers neurofibrillary tangles examined cases progressive supranuclear palsy one case postencephalitic parkinsonism one case alzheimers disease two cases senile dementia two cases non demented elderly person three cases light microscopic pattern alzheimers neurofibrillary tangles seen progressive supranuclear palsy similar postencephalitic parkinsonism alzheimers disease senile dementia non demented elderly person differences frequency distribution alzheimers neurofibrillary tangles demonstrated
46,ALZ,ALZ14,hla antigens alzheimers disease histocompatibility antigens b c loci typed patients alzheimers disease controls age results also compared distribution hla antigens series healthy blood donors statistically significant differences found alzheimer patients controls hla cw found significantly less frequently group comprising patients alzheimers disease controls together younger blood group leads us suggest age matched control group may needed least patients elderly
47,ALZ,ALZ140,central amine metabolism alzheimers disease vivo relationship cognitive deficit levels amine metabolites homovanillic acid hva methoxyhydroxyphenylglycol mhpg measured cerebrospinal csf fluid drug free patients alzheimers disease compared levels group controls significant differences found csf hva mhpg although alzheimers group severely demented platelet monoamine oxidase mao enzyme kinetics measured differ controls alzheimer patients degree dementia show significant correlation levels hva mhpg concluded unlike previous reports literature dementia alzheimers disease related changes central catecholamine metabolism associated increased platelet mao activity
48,ALZ,ALZ141,reappraisal fine structure alzheimers neurofibrillary tangles alzheimers neurofibrillary tangles studied electron microscopy study includes four cases alzheimers disease two cases atypical senile dementia one case progressive supranuclear palsy alzheimers disease tangles composed either straight filaments paired helical filaments progressive supranuclear palsy tangles composed nm straight filaments helical filaments straight filaments mixed paired helical filaments atypical senile dementia straight paired helical filaments comprised tangles one type filaments appeared intermingle neurons
49,ALZ,ALZ142,neurofibrillary pathology protein synthetic capability nerve cells alzheimers disease nucleolar volume measured nerve cells temporal cortex cases alzheimers disease obtained biopsy autopsy measurements made nerve cells containing neurofibrillary tangles also ones free changes results showed nucleolar volume significantly reduced least tangle non tangle bearing cells biopsy autopsy cases compared corresponding values appropriate control cases furthermore autopsy cases nerve cell nucleolar volume reduced tangle bearing cells compared non tangle bearing neighbours difference noted cells biopsy cases findings imply alterations protein synthetic capability occur nerve cells early course alzheimers disease change least initial stages related accumulation neurofibrillary material within cell body although later accumulation may result added disruption cell metabolism
50,ALZ,ALZ143,morphometric comparison hippocampal microvasculature ageing demented people diameters densities diameters densities capillaries arterioles hippocampal cortex normal subjects patients alzheimers dementia measured thick celloidin sections stained alkaline phosphatase microvascular diameters general affected age presence dementia alzheimer type diameter capillaries arterioles increases significantly age density capillaries decreases whereas arterioles increases significantly capillary changes suggest reduced exchange potential accompanies ageing brains people alzheimers disease overall capillary diameters densities differ age matched controls regional changes may however important hippocampal zones showing greatest severity increment nerve cell lesions correspond highest levels increase capillary density greatest decrease diameter suggesting direct association neuronal susceptibility alzheimer changes degree regional blood supply capillary surface areas volumes areacapillary volume ratios support possibility relationship neurofibrillary tangles granulovacuolar degeneration correlate equally degree capillary irrigation tangles closely related morphological vascular parameters
51,ALZ,ALZ144,familial alzheimers disease two kindreds geographic ethnic origin clinical genetic study alzheimers disease ad occurred individuals two kindreds jewish ancestry mode transmission suggesting autosomal dominant genetic trait kindreds originated byelorussia spoke lithuanian dialect yiddish one two families one case pathologically confirmed ad occurred clinical neuropathological signs parkinsons disease family one case amyotrophic lateral sclerosis one case downs syndrome occurred without clinical pathological signs ad single kindred tested study chromosome markers hla bf glo failed reveal correlation transmission ad segregation markers association increased aneuploidy peripheral blood chromosomes ad confirmed either families genetic differences familial sporadic form ad discussed
52,ALZ,ALZ145,histocompatibility antigens alzheimers disease preliminary study preliminary study alzheimers disease showed apparent excess antigen patients presented disease age whereas onset showed different frequencies antigens compared local population abnormality distribution b locus antigens findings briefly discussed
53,ALZ,ALZ146,organization neurofilamentous network neurofilamentous network normal rabbit brain lateral vestibular nucleus biopsies human patients cerebral cortex sural nerve investigated electron microscopically thin sections samples prepared standard techniques unfixed spreads freshly isolated perikarya utilized neurofilaments assembled three dimensional network associated axolemma microtubules mitochondria polyribosomes elements network demonstrate helicity several levels organization proposed dynamic state equilibrium ordered lattice open network paracrystalline states reversible phase transitions subunit proteins neurofilaments may lead coiling uncoiling filaments induce alterations network structure neuroplasm giant axonal swellings biopsies sural nerve interpreted accumulations cytoskeletal elements absence orienting effect microtubules cortical neurons patients alzheimers disease parts neurofilamentous network altered paracrystalline states virus like particles occur within modified network concepts cytoskeletal organization network helicity phase transitions paracrystallinity useful interpretation pathological alterations cytoskeleton understanding cytoskeletal organization general
54,ALZ,ALZ147,physostigmine arecoline effects intravenous infusions alzheimer presenile dementia physostigmine mg mg arecoline mg saline administered intravenously minutes randomized double blind design patients clinical diagnosis alzheimer presenile dementia significant improvement seen picture recognition test physostigmine mg arecholine mg trend towards improvement also seen physostigmine mg mg arecholine mg majority patients improvement slight two patients clear cut consistent
55,ALZ,ALZ148,clinical biochemistry aluminum methods aluminum analysis vary simple often nonspecific chemical physical procedures highly sophisticated types neutron activation atomic absorption spectrometry atomic absorption procedures techniques choice routine hospital laboratories wide distribution aluminum nature create severe contamination problems aluminum analysis procedures avoid contamination discussed recent years aluminum implicated possible etiological agent des alzheimers disease common finding two conditions elevated brain aluminum content patients alzheimers disease develop characteristic neurofibrillary tangles lead degeneration affected neurons similar tangles induced laboratory animals injected intracerebrally aluminum salts even though laboratory animals develop tangles resembling seen patients alzheimers disease evidence published show tangles seen alzheimers disease induced elevated brain aluminum content although similar clinical symptoms alzheimers disease des hemodialysis patients des develop neurofibrillary tangles despite elevated brain aluminum content significance difference understood sources increase tissue aluminum levels found hemodialysis patients gastrointestinal absorption aluminum aluminum containing phosphate binding gels transfer dialyzate blood hemodialysis procedure plasma aluminum values may reduced administration minimum dosage phosphate binding gels use purified water make dialysate incidence des reduced use procedures maintain hemodialysis patients plasma aluminum low concentration increased brain aluminum content patients alzheimers disease derived environment ubiquitous occurrence aluminum exposed daily food water air low levels aluminum absorbed environment may explain susceptible patients develop alzheimers disease many years exposure indeed aluminum etiological agent alzheimers disease many papers published concerning aluminum des alzheimers disease make strong case linking elevated tissue aluminum content conditions however conclusive evidence support theory published effect aluminum cellular chemistry fully understood possibility des alzheimers disease may result causes aluminum another agent acting concomitantly must considered
56,ALZ,ALZ149,dietary aluminum alzheimers disease review current evidence suggests dietary aluminum neither essential nutrient toxic element causing neurological damage phosphate fluoride salts aluminum insoluble fed excess aluminum increases dietary needs anions aluminum hydroxide used antacid prevent phosphatemia seen severe kidney damage alzheimers disease progressive decrease brain mass accumulation phospholipid rich cell debris membrane tangles tend accumulate aluminum easily stainable silver
57,ALZ,ALZ15,presenile alzheimer disease amyloid plaques cerebellum seven patients pathologically proved alzheimer disease amyloid plaques resembling kuru plaques cerebellum seven patients dementia presenile onset positive family history disease five patients neurologic symptoms present five similar plaques described one two patients familial alzheimer disease spongiform encephalopathy induced subhuman primates intracerebral inoculation brain tissue observations suggest cases familial alzheimer disease may clinically distinct senile dementia may genetic origin
